id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, which is directly supported by the provided context.",5,"The answer directly addresses the query by providing the specific SLA for processing P1 tickets, including both the time for resolution and the initial response time.",5,Retrieved: 1/1 expected sources,5,"Both answers mention the initial response time of 15 minutes and the resolution time of 4 hours for P1 tickets, covering all key points.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation, which is consistent with the conditions outlined in the context.",5,The answer directly addresses the query by specifying the time frame (7 days) within which customers can request a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all important points in the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirement for Level 3 access, which states that approval is needed from the Line Manager, IT Admin, and IT Security, as mentioned in the provided chunks.",5,The answer directly addresses the query by specifying the required approvals for granting Level 3 access.,5,Retrieved: 1/1 expected sources,5,"Both answers mention the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access, covering all key points.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds, which is supported by the retrieved chunks. However, it implies that refunds are possible for digital products if there is a manufacturing defect, which is not explicitly stated in the provided context.",5,"The answer directly addresses the query about the refund policy for digital products, stating that they are generally non-refundable except in specific circumstances.",5,Retrieved: 1/1 expected sources,3,"The model answer mentions that digital products are non-refundable unless there is a manufacturer error, but it does not explicitly state that digital products are exceptions to the refund policy, as highlighted in the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that the account is locked after 5 consecutive failed login attempts and provides the correct methods for unlocking the account.",5,The answer directly addresses the query by stating that the account is locked after 5 consecutive failed login attempts and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,4,"The model answer includes the key point about the account being locked after 5 failed login attempts, but it adds additional information about unlocking the account, which is not part of the expected answer.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Sau khi khắc phục, cần viết incident report trong vòng 24 giờ [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the retrieved chunks, including the steps for initial response, escalation to Senior Engineer, and the requirement for an incident report.",5,"The answer provides a detailed and structured explanation of the escalation process for a P1 incident, directly addressing the query.",5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, detailing the escalation process for P1 incidents, including the timeframes for response and escalation.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately summarizes the content of the retrieved chunks, specifically mentioning the approval process for access to internal systems and the applicability to employees, contractors, and third-party vendors.",5,The answer directly addresses the query by explaining what the Approval Matrix is and its purpose in granting access rights within the company's internal systems.,5,Retrieved: 1/1 expected sources,2,The model answer mentions the approval matrix and its purpose but does not include the updated name 'Access Control SOP' or the specific document reference.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the retrieved chunks regarding remote work conditions, including the maximum number of remote days and the requirement for approval from the Team Lead.",5,The answer directly addresses the query by specifying the maximum number of remote work days allowed per week and includes additional relevant information about the approval process.,5,Retrieved: 1/1 expected sources,5,"Both answers convey that employees can work remotely up to 2 days a week after the probation period, with the requirement of Team Lead approval. The model answer includes the additional detail about the HR Portal, which does not detract from the completeness.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer 'Tôi không biết' does not provide any relevant information or context from the retrieved chunks, which contain specific procedures and guidelines related to access requests, password management, and security reviews.",1,The answer does not provide any information about the ERR-403-AUTH error or how to handle it.,,No expected sources,1,"The model answer does not provide any information about ERR-403-AUTH, its potential relation to authentication, or the suggestion to contact IT Helpdesk, missing all key points from the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which is not addressed in the provided context. The context only discusses general refund conditions and procedures.",2,"The answer acknowledges the lack of information regarding the specific process for urgent refunds for VIP customers, but it does not provide any relevant details or context that could help address the query.",5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of information regarding the VIP refund process but does not mention the standard refund process or the timeframe, which are key points in the expected answer.",baseline_dense
